lr,epoch,decay,status,acc
0.05,1,0.95,0,0.57077
0.05,1,0.99,0,0.571894
0.05,1,0.995,0,0.572064
0.05,1,0.96,0,0.571059
0.05,1,0.9995,0,0.572189
0.05,1,0.999,0,0.57218
0.05,100,0.96,0,0.732027
0.05,100,0.95,0,0.718966
0.05,100,0.99,0,0.773503
0.05,100,0.995,0,0.772925
0.05,100,0.999,0,0.77754
0.05,100,0.9995,0,0.776494
0.05,300,0.95,0,0.720964
0.05,300,0.96,0,0.740308
0.05,300,0.99,0,0.793337
0.05,300,0.995,0,0.801383
0.05,300,0.999,0,0.79382
0.05,300,0.9995,0,0.818263
0.05,500,0.96,0,0.737121
0.05,500,0.95,0,0.720859
0.05,500,0.99,0,0.80449
0.05,500,0.995,0,0.809349
0.05,500,0.9995,0,0.828384
0.05,500,0.999,0,0.813672
0.05,1000,0.95,0,0.720859
0.05,1000,0.96,0,0.737121
0.05,1000,0.99,0,0.81803
0.05,1000,0.995,0,0.823545
0.05,1000,0.9995,0,0.842973
0.05,1000,0.999,0,0.860956
0.05,1500,0.95,0,0.720859
0.05,1500,0.96,0,0.737121
0.05,1500,0.99,0,0.8147
0.1,1,0.95,0,0.565261
0.1,1,0.96,0,0.565201
0.1,1,0.99,0,0.565264
0.1,1,0.995,0,0.565201
0.1,1,0.999,0,0.56521
0.1,1,0.9995,0,0.565201
0.05,1500,0.995,0,0.830631
0.1,100,0.95,0,0.76027
0.1,100,0.96,0,0.764766
0.1,100,0.99,0,0.808982
0.1,100,0.995,0,0.792657
0.1,100,0.9995,0,0.78795
0.1,100,0.999,0,0.790532
0.1,300,0.95,0,0.773551
0.1,300,0.96,0,0.781395
0.05,1500,0.999,0,0.865571
0.05,1500,0.9995,0,0.846259
0.1,300,0.99,0,0.801461
0.1,300,0.995,0,0.816522
0.1,300,0.999,0,0.807712
0.1,300,0.9995,0,0.770144
0.1,500,0.95,0,0.773304
0.1,500,0.96,0,0.778867
0.1,500,0.99,0,0.809969
0.1,500,0.995,0,0.824273
0.1,500,0.999,0,0.724097
0.1,500,0.9995,0,0.820686
0.1,1000,0.95,0,0.773304
0.1,1000,0.96,0,0.778876
0.1,1000,0.99,0,0.827424
0.1,1000,0.995,0,0.829576
0.1,1000,0.999,0,0.843495
0.1,1000,0.9995,0,0.8546
0.1,1500,0.95,0,0.773304
0.1,1500,0.96,0,0.778876
0.1,1500,0.99,0,0.828735
0.3,1,0.95,0,0.587115
0.3,1,0.96,0,0.586197
0.3,1,0.99,0,0.582265
0.3,1,0.995,0,0.581734
